epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1678,1.36156,1.30051,0.33609,1.05077,1.65654,0.19351,0.20833,0.11504,0.02465,0.29568,0.375,0.26809,0.16873,1.9445,3.68336,0.10357,1.63941,2.14573,0.0740026,2.6e-06,2.6e-06
2,38.0996,1.34726,1.14858,0.39874,1.03811,1.67993,0.35559,0.3125,0.27307,0.08013,0.66621,0.49899,0.6383,0.5161,1.70679,2.37818,0.11354,1.15894,1.83869,0.0470053,5.27377e-06,5.27377e-06
3,53.4501,1.321,1.1973,0.38618,0.9838,1.64292,0.41173,0.39583,0.31796,0.11406,0.60073,0.62695,0.64648,0.55644,1.55093,2.09904,0.13011,1.03714,1.65556,0.0200079,7.9208e-06,7.9208e-06
4,71.1296,1.23942,0.96863,0.31233,0.91595,1.55549,0.52479,0.34527,0.38599,0.14433,0.77134,0.60417,0.70552,0.6135,1.51831,1.91694,0.13312,0.99901,1.61814,9.8515e-06,9.8515e-06,9.8515e-06
5,89.473,1.29811,1.0508,0.37324,0.96708,1.61813,0.57764,0.37052,0.38474,0.14861,0.67328,0.625,0.72825,0.62084,1.52347,1.92896,0.13358,0.98056,1.61416,9.802e-06,9.802e-06,9.802e-06
6,104.558,1.25304,0.92732,0.35863,0.93406,1.55502,0.56585,0.35417,0.3838,0.14912,0.72021,0.64358,0.74463,0.63408,1.53206,1.86608,0.1326,0.97158,1.60692,9.7525e-06,9.7525e-06,9.7525e-06
7,119.668,1.30267,1.03988,0.38005,0.96212,1.59188,0.58018,0.33333,0.38847,0.15434,0.81772,0.65435,0.75484,0.64347,1.5317,1.75188,0.13046,0.95798,1.60307,9.703e-06,9.703e-06,9.703e-06
8,136.638,1.28066,0.85193,0.33655,0.95529,1.58544,0.61251,0.375,0.39122,0.15786,0.82225,0.67472,0.7796,0.64911,1.52129,1.69621,0.12856,0.95929,1.59059,9.6535e-06,9.6535e-06,9.6535e-06
9,151.912,1.25962,0.98111,0.34369,0.91812,1.55623,0.53841,0.39583,0.38304,0.15522,0.83533,0.64583,0.7769,0.64569,1.5118,1.68405,0.12753,0.95741,1.57935,9.604e-06,9.604e-06,9.604e-06
10,169.168,1.23607,1.079,0.38318,0.90073,1.53725,0.53992,0.39583,0.4022,0.155,0.82109,0.64583,0.77765,0.64446,1.51475,1.6475,0.12629,0.94451,1.58045,9.5545e-06,9.5545e-06,9.5545e-06
11,184.555,1.23364,0.79913,0.3697,0.91167,1.56084,0.57981,0.37375,0.39338,0.15015,0.86332,0.64583,0.76912,0.64085,1.50633,1.63085,0.12608,0.95148,1.57215,9.505e-06,9.505e-06,9.505e-06
12,197.995,1.19123,0.71524,0.33547,0.85519,1.49868,0.59789,0.375,0.40241,0.15084,0.84015,0.65714,0.78966,0.65096,1.48501,1.61616,0.12575,0.95607,1.55577,9.4555e-06,9.4555e-06,9.4555e-06
13,214.832,1.2598,0.76832,0.34878,0.88764,1.57371,0.59384,0.4375,0.42854,0.16315,0.84128,0.66265,0.79426,0.64837,1.47714,1.60516,0.12569,0.95367,1.55022,9.406e-06,9.406e-06,9.406e-06
14,229.061,1.17362,0.79137,0.35545,0.86894,1.49159,0.59297,0.39459,0.43051,0.16511,0.77558,0.6875,0.79548,0.65256,1.47221,1.57251,0.12642,0.94907,1.53641,9.3565e-06,9.3565e-06,9.3565e-06
15,246.82,1.21103,0.90097,0.3988,0.88812,1.5328,0.62015,0.37417,0.4284,0.16536,0.75083,0.6875,0.80101,0.66296,1.47209,1.49776,0.1248,0.93958,1.53452,9.307e-06,9.307e-06,9.307e-06
16,266.928,1.24744,0.85025,0.36963,0.91898,1.53093,0.52646,0.4375,0.43672,0.16714,0.76331,0.70833,0.80806,0.67016,1.46163,1.48111,0.12466,0.93786,1.52579,9.2575e-06,9.2575e-06,9.2575e-06
17,286.424,1.19504,0.81847,0.33386,0.86818,1.51118,0.5796,0.41667,0.44338,0.17195,0.73241,0.6875,0.79453,0.67882,1.45623,1.46845,0.12351,0.94081,1.51991,9.208e-06,9.208e-06,9.208e-06
18,301.482,1.18681,0.80078,0.3355,0.84725,1.47385,0.56308,0.45648,0.4659,0.17557,0.69507,0.70833,0.79315,0.67613,1.46502,1.4783,0.12362,0.93969,1.5261,9.1585e-06,9.1585e-06,9.1585e-06
19,316.86,1.16536,0.70701,0.35056,0.83739,1.48747,0.54323,0.45833,0.4618,0.17124,0.68881,0.69179,0.78699,0.67005,1.47045,1.44462,0.12383,0.92917,1.52638,9.109e-06,9.109e-06,9.109e-06
