epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.15775,1.3211,1.61365,0.38462,2.42725,2.13486,0.00198,0.25855,0.04176,0.00814,0.01126,0.98718,0.12028,0.08126,1.66587,1.61868,0.18087,2.48789,2.30862,0.0675471,3.24561e-06,3.24561e-06
2,15.3704,0.99265,1.35813,0.11894,1.57764,1.35632,0.72485,0.1468,0.31547,0.14194,0.81379,0.08665,0.37317,0.25975,1.27221,1.44845,0.1088,1.80859,1.48737,0.034217,6.51382e-06,6.51382e-06
3,22.543,0.96811,1.2351,0.08115,1.33514,1.3352,0.66095,0.28205,0.40809,0.21011,0.68428,0.32051,0.45638,0.34442,1.21907,1.32217,0.07587,1.25222,1.37716,0.000886909,9.71602e-06,9.71602e-06
4,29.6498,0.9108,1.18591,0.07581,1.27897,1.30979,0.37238,0.34084,0.44574,0.2346,0.34925,0.35383,0.48155,0.36684,1.14655,1.273,0.07194,1.20125,1.32626,9.703e-06,9.703e-06,9.703e-06
5,36.7824,0.85498,1.15633,0.07688,1.22986,1.26583,0.32127,0.35043,0.46689,0.25712,0.35418,0.38889,0.4916,0.37532,1.08954,1.24524,0.07007,1.1585,1.27897,9.604e-06,9.604e-06,9.604e-06
6,43.863,0.89855,1.11109,0.07196,1.2005,1.3027,0.38476,0.55198,0.50011,0.27901,0.39764,0.58114,0.52262,0.4053,1.0914,1.23483,0.06953,1.1072,1.28137,9.505e-06,9.505e-06,9.505e-06
7,50.9028,0.84211,1.08064,0.07086,1.14844,1.26665,0.43412,0.74501,0.5071,0.2688,0.43955,0.75783,0.52376,0.41035,1.13117,1.21397,0.06946,1.07356,1.31681,9.406e-06,9.406e-06,9.406e-06
8,57.9348,0.86166,1.09255,0.07502,1.10942,1.28572,0.43846,0.83761,0.52425,0.26086,0.43846,0.83761,0.53659,0.42083,1.17303,1.19536,0.0688,1.04129,1.36096,9.307e-06,9.307e-06,9.307e-06
9,64.9949,0.83055,1.04137,0.06931,1.05241,1.27124,0.41901,0.84996,0.52271,0.26493,0.41901,0.84996,0.53187,0.42233,1.15323,1.17817,0.06799,1.00821,1.35234,9.208e-06,9.208e-06,9.208e-06
10,72.1511,0.84346,1.01784,0.07511,1.04318,1.28384,0.4276,0.88207,0.53333,0.29333,0.42213,0.86925,0.53998,0.43261,1.08499,1.15694,0.06714,0.9689,1.31099,9.109e-06,9.109e-06,9.109e-06
11,79.4393,0.83319,1.04287,0.06815,1.02769,1.2868,0.45658,0.90907,0.55604,0.31876,0.45098,0.89625,0.56014,0.45194,1.05741,1.13732,0.06629,0.93635,1.29905,9.01e-06,9.01e-06,9.01e-06
12,86.6339,0.8196,0.96031,0.06918,0.98361,1.265,0.44774,0.91667,0.57347,0.32548,0.43935,0.90385,0.57175,0.46887,1.07628,1.11419,0.06517,0.91883,1.3212,8.911e-06,8.911e-06,8.911e-06
13,93.8409,0.81178,0.95833,0.06624,0.95226,1.25605,0.46296,0.91667,0.59585,0.3328,0.45477,0.90385,0.59278,0.48498,1.09014,1.09704,0.06423,0.89904,1.33668,8.812e-06,8.812e-06,8.812e-06
14,100.97,0.80633,0.92538,0.06373,0.92623,1.26177,0.47522,0.91667,0.60713,0.35557,0.46935,0.90385,0.60114,0.49747,1.03886,1.0718,0.06277,0.86187,1.28595,8.713e-06,8.713e-06,8.713e-06
15,108.089,0.78249,0.91131,0.06665,0.91704,1.24635,0.49338,0.92846,0.63488,0.37373,0.48723,0.91564,0.62745,0.52284,1.02859,1.04857,0.06206,0.83487,1.27205,8.614e-06,8.614e-06,8.614e-06
16,115.598,0.78889,0.89739,0.07013,0.8854,1.23581,0.51811,0.92274,0.64834,0.38381,0.51128,0.90992,0.63849,0.53858,1.02601,1.03452,0.06064,0.81949,1.27171,8.515e-06,8.515e-06,8.515e-06
17,122.751,0.77652,0.9834,0.06551,0.85033,1.22611,0.51409,0.88889,0.65224,0.38889,0.50711,0.87607,0.64603,0.54,1.01419,1.01427,0.06005,0.80897,1.26434,8.416e-06,8.416e-06,8.416e-06
18,129.841,0.79474,0.84193,0.07021,0.8687,1.23289,0.51714,0.88889,0.65698,0.39769,0.5101,0.87607,0.65062,0.54485,0.99314,0.99452,0.0589,0.79403,1.25479,8.317e-06,8.317e-06,8.317e-06
19,136.979,0.75847,0.8743,0.06781,0.84219,1.22744,0.537,0.91667,0.67294,0.39715,0.52974,0.90385,0.66918,0.56185,1.01256,0.97773,0.05781,0.77826,1.27302,8.218e-06,8.218e-06,8.218e-06
20,144.069,0.75987,0.83244,0.06568,0.80951,1.21425,0.54668,0.88889,0.6933,0.41452,0.54668,0.88889,0.71358,0.58436,1.00096,0.96061,0.05731,0.75946,1.25671,8.119e-06,8.119e-06,8.119e-06
21,151.191,0.78087,0.82454,0.05648,0.80242,1.24807,0.58658,0.88889,0.73324,0.44931,0.58922,0.88889,0.75131,0.62382,0.97161,0.94508,0.0567,0.73878,1.22896,8.02e-06,8.02e-06,8.02e-06
22,158.502,0.73562,0.78797,0.05881,0.77034,1.2052,0.60152,0.89749,0.7612,0.47889,0.60024,0.89107,0.78212,0.65194,0.93181,0.91791,0.05599,0.71432,1.20778,7.921e-06,7.921e-06,7.921e-06
23,165.78,0.74649,0.75188,0.05842,0.77031,1.21609,0.6284,0.94246,0.76841,0.47902,0.62438,0.9246,0.78961,0.66276,0.9581,0.89529,0.05477,0.69776,1.22547,7.822e-06,7.822e-06,7.822e-06
24,172.81,0.74674,0.72656,0.05327,0.76072,1.20169,0.66132,0.94444,0.79161,0.48217,0.68097,0.93507,0.81456,0.68981,0.9998,0.87408,0.0541,0.69308,1.25847,7.723e-06,7.723e-06,7.723e-06
25,179.796,0.73498,0.71351,0.05763,0.72443,1.16978,0.66165,0.93068,0.79588,0.48946,0.6892,0.92929,0.81967,0.70107,0.98184,0.84774,0.05358,0.67997,1.24278,7.624e-06,7.624e-06,7.624e-06
26,186.867,0.71872,0.68411,0.05696,0.71308,1.17174,0.68671,0.89149,0.80293,0.49248,0.69356,0.89441,0.81176,0.69492,0.95422,0.82061,0.05393,0.66896,1.22123,7.525e-06,7.525e-06,7.525e-06
27,194.027,0.70716,0.661,0.06082,0.70756,1.18747,0.69104,0.87945,0.80417,0.4945,0.69951,0.89227,0.81498,0.70334,0.95724,0.80058,0.05356,0.65586,1.22489,7.426e-06,7.426e-06,7.426e-06
28,201.092,0.71924,0.69116,0.05701,0.69346,1.16522,0.64302,0.98562,0.80634,0.4992,0.66457,0.88889,0.817,0.71165,0.94799,0.76823,0.0526,0.6432,1.22667,7.327e-06,7.327e-06,7.327e-06
29,208.203,0.73435,0.60407,0.05502,0.68513,1.18015,0.6475,0.96457,0.81724,0.52198,0.74297,0.82207,0.83313,0.73347,0.92561,0.73515,0.05166,0.63098,1.21481,7.228e-06,7.228e-06,7.228e-06
30,215.478,0.70927,0.55902,0.05029,0.65443,1.16611,0.72377,0.82265,0.82686,0.5281,0.73834,0.83547,0.84464,0.74721,0.90104,0.70374,0.0507,0.62332,1.2052,7.129e-06,7.129e-06,7.129e-06
31,222.726,0.72496,0.55379,0.05075,0.66376,1.15884,0.74033,0.84733,0.82938,0.53588,0.75118,0.86015,0.84956,0.75893,0.90988,0.68019,0.05024,0.62581,1.2134,7.03e-06,7.03e-06,7.03e-06
32,230.522,0.71113,0.53534,0.06018,0.63871,1.17116,0.67859,0.9594,0.83398,0.54502,0.76288,0.82613,0.85306,0.76333,0.90095,0.65418,0.04983,0.60837,1.20269,6.931e-06,6.931e-06,6.931e-06
33,238.211,0.69345,0.54284,0.05523,0.6422,1.13739,0.68897,0.92845,0.84362,0.55729,0.6987,0.94127,0.86059,0.77688,0.88433,0.6373,0.04955,0.59683,1.19077,6.832e-06,6.832e-06,6.832e-06
34,245.603,0.70255,0.50764,0.05342,0.6276,1.14662,0.69276,0.9594,0.84236,0.54682,0.70246,0.97222,0.85589,0.77682,0.88771,0.61787,0.04896,0.58313,1.18814,6.733e-06,6.733e-06,6.733e-06
35,252.667,0.721,0.43827,0.05203,0.61052,1.16769,0.70728,0.9594,0.85713,0.56076,0.71741,0.97222,0.87151,0.79368,0.90448,0.59768,0.04834,0.58463,1.19834,6.634e-06,6.634e-06,6.634e-06
36,259.935,0.70122,0.42718,0.05846,0.60782,1.14632,0.73075,0.97222,0.87857,0.55855,0.73075,0.97222,0.87857,0.80739,0.9149,0.58422,0.04783,0.58622,1.20798,6.535e-06,6.535e-06,6.535e-06
37,266.994,0.68516,0.41733,0.05142,0.58144,1.14435,0.75843,0.94091,0.88567,0.56323,0.75843,0.94091,0.88567,0.81543,0.92137,0.5718,0.04748,0.58202,1.21572,6.436e-06,6.436e-06,6.436e-06
38,274.438,0.69411,0.44242,0.05093,0.58667,1.15443,0.75993,0.93974,0.88835,0.58022,0.75993,0.93974,0.88835,0.82004,0.883,0.55318,0.04723,0.57257,1.1909,6.337e-06,6.337e-06,6.337e-06
39,281.699,0.67885,0.39421,0.05025,0.57089,1.12524,0.75433,0.92996,0.87528,0.58886,0.76504,0.94278,0.89162,0.82697,0.84656,0.52998,0.04699,0.55205,1.17035,6.238e-06,6.238e-06,6.238e-06
40,289.547,0.67591,0.41929,0.04717,0.54453,1.11271,0.77278,0.94191,0.89689,0.58904,0.77278,0.94191,0.89689,0.83406,0.86307,0.51826,0.04654,0.55033,1.18343,6.139e-06,6.139e-06,6.139e-06
41,297.277,0.66798,0.38154,0.04588,0.54324,1.11864,0.77322,0.94225,0.90385,0.5848,0.77322,0.94225,0.90385,0.84167,0.87905,0.50967,0.04597,0.55091,1.19168,6.04e-06,6.04e-06,6.04e-06
42,304.769,0.68673,0.35643,0.0461,0.5539,1.15271,0.76967,0.93416,0.91226,0.58825,0.76967,0.93416,0.91226,0.85204,0.87677,0.50094,0.0451,0.54668,1.19306,5.941e-06,5.941e-06,5.941e-06
43,312.014,0.65172,0.42171,0.0505,0.55416,1.09887,0.81281,0.8827,0.91053,0.59891,0.79845,0.8705,0.88824,0.84657,0.84521,0.49743,0.04449,0.54007,1.17921,5.842e-06,5.842e-06,5.842e-06
44,319.142,0.67286,0.36874,0.0478,0.54076,1.11461,0.82922,0.87613,0.92093,0.6364,0.81666,0.86331,0.89794,0.86055,0.80674,0.49173,0.04378,0.5217,1.15587,5.743e-06,5.743e-06,5.743e-06
45,326.527,0.64214,0.33755,0.04907,0.53293,1.0942,0.79974,0.91296,0.92757,0.63003,0.78803,0.90014,0.90446,0.87149,0.82228,0.48094,0.04353,0.52014,1.16247,5.644e-06,5.644e-06,5.644e-06
46,333.605,0.68815,0.31876,0.04784,0.53412,1.12892,0.86596,0.83974,0.93022,0.62407,0.85144,0.82692,0.90831,0.87904,0.85125,0.47321,0.04296,0.51323,1.17333,5.545e-06,5.545e-06,5.545e-06
47,340.738,0.69098,0.32927,0.04713,0.53285,1.12951,0.8614,0.87442,0.93129,0.62661,0.84788,0.8626,0.90992,0.88157,0.84561,0.45818,0.04265,0.5064,1.16762,5.446e-06,5.446e-06,5.446e-06
48,348.762,0.66233,0.34487,0.04188,0.51891,1.09472,0.85557,0.89185,0.93174,0.64042,0.85557,0.89185,0.93174,0.88016,0.80766,0.44944,0.04262,0.50216,1.15006,5.347e-06,5.347e-06,5.347e-06
