epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8714,2.06862,11.8333,0.6916,4.19592,2.28009,0.18672,0.57051,0.28821,0.15522,0,0,0,0,1.52829,11.8413,0.67829,4.16109,1.75387,0.00025005,0.00025005,0.00025005
2,46.933,1.33524,11.7266,0.61221,2.26398,1.40032,0.41088,0.68462,0.49043,0.28749,0,0,0,0,1.56284,11.8105,0.65381,2.26188,1.47559,0.00049119,0.00049119,0.00049119
3,60.0027,1.22529,11.6718,0.53329,1.87014,1.25793,0.31261,0.80641,0.39292,0.21954,0,0,0,0,1.32217,11.6283,0.39891,6.79366,1.31012,0.000705924,0.000705924,0.000705924
4,71.5676,1.11938,11.5542,0.47367,1.4926,1.20182,0.46173,0.51795,0.55426,0.33914,0,0,0,0,1.34186,11.6771,0.21188,4.69294,1.29763,0.000894254,0.000894254,0.000894254
5,87.7954,1.04794,11.3944,0.42489,1.26467,1.11236,0.73549,0.38462,0.48289,0.37845,0,0,0,0,1.21556,11.5635,0.15506,3.68005,1.22607,0.00105618,0.00105618,0.00105618
6,99.7514,1.01061,11.2952,0.42987,1.08685,1.13133,0.66059,0.72308,0.65773,0.46137,0,0,0,0,1.19752,11.3791,0.1532,1.9665,1.23355,0.0011917,0.0011917,0.0011917
7,111.729,0.95254,11.1169,0.40054,0.97756,1.10221,0.73478,0.84487,0.80872,0.62163,0,0,0,0,1.10709,11.5468,0.07328,1.19024,1.14302,0.0011719,0.0011719,0.0011719
8,124.33,0.94024,10.9451,0.40762,0.88604,1.09941,0.7999,0.82821,0.86882,0.64156,0,0,0,0,1.1253,11.4567,0.06586,1.11928,1.18253,0.00108938,0.00108938,0.00108938
9,136.314,0.92993,10.9231,0.39531,0.86448,1.08878,0.63977,0.76667,0.81684,0.58044,0,0,0,0,1.07869,11.1171,0.09451,1.25875,1.14351,0.00100687,0.00100687,0.00100687
10,147.298,0.82149,10.6096,0.367,0.73045,1.05669,0.92519,0.91476,0.95802,0.66072,0,0,0,0,1.04575,11.0482,0.07311,0.8544,1.2246,0.000924352,0.000924352,0.000924352
11,201.985,0.71174,10.2758,0.11944,0.73772,0.97378,0.90305,0.89487,0.90096,0.70176,0,0,0,0,1.04408,10.8664,0.07492,0.86163,1.14473,0.000841835,0.000841835,0.000841835
12,215.63,0.669,10.0149,0.10011,0.70672,0.93763,0.84561,0.92374,0.95128,0.74354,0,0,0,0,0.91812,10.5524,0.06543,0.70538,1.01805,0.000759318,0.000759318,0.000759318
13,228.831,0.62345,9.89976,0.08294,0.64529,0.93037,0.85638,0.91241,0.9203,0.68039,0,0,0,0,1.00616,10.211,0.07085,0.77685,1.05621,0.000676802,0.000676802,0.000676802
14,240.779,0.59527,9.83365,0.07161,0.58479,0.89687,0.90387,0.96667,0.97095,0.78465,0,0,0,0,0.88702,10.0829,0.06187,0.6131,0.99019,0.000594286,0.000594286,0.000594286
15,251.47,0.56148,9.58845,0.06497,0.55929,0.89006,0.94019,0.98333,0.99324,0.80332,0,0,0,0,0.87948,10.0057,0.06244,0.50802,1.02347,0.000511769,0.000511769,0.000511769
16,262.167,0.56263,9.37507,0.06218,0.52827,0.89312,0.95662,0.93333,0.98039,0.78032,0,0,0,0,0.93188,9.93412,0.05565,0.52948,1.07175,0.000429253,0.000429253,0.000429253
17,273.058,0.50558,9.24025,0.05253,0.48466,0.85365,0.95829,0.96667,0.9774,0.78601,0,0,0,0,0.95239,9.65978,0.05709,0.50799,1.05984,0.000346736,0.000346736,0.000346736
18,283.816,0.48015,9.10318,0.04507,0.46167,0.84838,0.98956,0.93109,0.97759,0.79228,0,0,0,0,0.93394,9.55843,0.05696,0.48416,1.05735,0.00026422,0.00026422,0.00026422
19,294.331,0.46951,8.88822,0.04801,0.44455,0.84201,0.98565,0.94651,0.99158,0.81514,0.04075,0.03846,0.01157,0.00116,0.87288,9.46617,0.05678,0.47562,1.01554,0.000181703,0.000181703,0.000181703
20,304.955,0.43682,8.71107,0.04251,0.42955,0.84835,0.98214,0.97687,0.99324,0.82336,0,0,0,0,0.8229,9.47825,0.05556,0.44921,0.99327,9.91865e-05,9.91865e-05,9.91865e-05
