epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3448,1.92812,4.26763,2.02658,0.00175,0.52632,0.00164,0.00029,1.80994,4.34299,2.50699,0.0001,0.0001,0.0001
2,15.9984,1.69811,4.1161,1.66387,0.00316,0.94737,0.01333,0.00631,1.30953,3.83135,1.53602,0.000217822,0.000217822,0.000217822
3,19.15,1.41454,3.19491,1.29781,0.00333,1,0.22219,0.06325,1.36895,3.65042,1.58031,0.000333268,0.000333268,0.000333268
4,21.5426,1.37538,2.4559,1.31384,0.00333,1,0.4225,0.16126,1.36156,3.40944,1.29794,0.000446338,0.000446338,0.000446338
5,23.4426,1.32227,2.28693,1.30994,0.05121,0.68421,0.55348,0.29437,1.22915,3.20423,1.31711,0.000557032,0.000557032,0.000557032
6,25.3576,1.44629,2.00202,1.31047,0.0051,0.64153,0.30839,0.10591,1.54499,3.42289,1.47769,0.00066535,0.00066535,0.00066535
7,27.2316,1.2963,1.9902,1.2994,0.00333,1,0.32355,0.14204,1.29806,3.38111,1.27855,0.000771292,0.000771292,0.000771292
8,29.1026,1.23243,1.93221,1.23805,0.04586,0.84211,0.39106,0.18524,1.37572,3.44674,1.41205,0.000874858,0.000874858,0.000874858
9,30.9706,1.28924,1.70843,1.27266,0.00333,1,0.26381,0.13875,1.47585,3.37401,1.48311,0.000976048,0.000976048,0.000976048
10,32.8466,1.23728,1.78911,1.23305,0.05785,0.73684,0.48961,0.3028,1.43749,3.19072,1.43911,0.00107486,0.00107486,0.00107486
11,34.6446,1.13792,1.57074,1.16797,0.91379,0.55894,0.85184,0.4665,1.44267,2.841,1.53665,0.0011713,0.0011713,0.0011713
12,36.7216,1.16915,1.45467,1.15519,0.5365,0.63158,0.61581,0.29844,1.37516,2.62588,1.39962,0.00126536,0.00126536,0.00126536
13,38.5556,1.12389,1.46694,1.13588,0.26619,0.42006,0.29337,0.11907,1.54752,3.15399,1.69325,0.00135705,0.00135705,0.00135705
14,40.4566,1.30224,1.71377,1.28052,0.26711,0.52632,0.24247,0.12185,1.54414,3.14875,1.59197,0.00144636,0.00144636,0.00144636
15,42.1976,1.30697,1.54956,1.23538,0.47565,0.47761,0.43526,0.24749,1.38081,2.91875,1.52153,0.00153329,0.00153329,0.00153329
16,44.0124,1.10112,1.57656,1.10795,0.65222,0.69123,0.75404,0.43902,1.43601,2.45884,1.58978,0.00161785,0.00161785,0.00161785
17,45.8034,1.24088,1.42174,1.23312,0.88506,0.52632,0.71027,0.40941,1.49846,2.72893,1.66363,0.0016832,0.0016832,0.0016832
18,47.6424,1.15828,1.39097,1.19173,0.08919,0.31579,0.08918,0.04537,1.65647,3.4396,1.68053,0.0016634,0.0016634,0.0016634
19,49.4604,1.16926,1.34074,1.13613,0.32382,0.36842,0.20463,0.10836,1.59506,2.88925,1.63787,0.0016436,0.0016436,0.0016436
20,51.3364,1.14125,1.19524,1.15208,0.59434,0.54035,0.46336,0.27334,1.52532,2.48299,1.62203,0.0016238,0.0016238,0.0016238
21,53.3014,1.02336,1.21047,1.1102,0.64012,0.57895,0.57369,0.30796,1.57693,2.18831,1.67399,0.001604,0.001604,0.001604
