epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5127,3.94564,5.16274,0.59712,8.82415,3.20221,0.02029,0.1875,0.01294,0.00243,0.13057,0.20833,0.04508,0.00621,3.59824,5.35942,0.67486,3.11321,3.04166,0.00026,0.00026,0.00026
2,35.2556,3.28783,4.41543,0.51344,2.9041,2.60461,0.07233,0.0625,0.02753,0.00679,0.19757,0.09765,0.10065,0.01546,3.38813,5.27258,0.61273,2.68931,3.03489,0.000529308,0.000529308,0.000529308
3,44.059,3.20307,3.38447,0.43515,2.58825,2.54996,0.06856,0.22917,0.04518,0.00972,0.18365,0.20833,0.14311,0.03637,3.03445,4.80047,0.50036,2.62556,2.56352,0.000787528,0.000787528,0.000787528
4,54.582,3.02357,3.40604,0.42174,2.48852,2.35632,0.00213,0.54167,0.00176,0.00057,0.00355,0.33333,0.0027,0.00131,2.85078,3.99573,0.36588,32.0498,2.49646,0.00103466,0.00103466,0.00103466
5,63.1116,2.55782,3.09996,0.41304,2.25393,2.11096,0.00773,0.04167,0.00418,0.00105,0.00763,0.41667,0.0092,0.00281,3.24667,5.47872,0.37118,8.98481,3.31032,0.0012707,0.0012707,0.0012707
6,71.5339,2.8068,3.35717,0.33491,2.37452,2.27508,0.00685,0.35417,0.00514,0.00183,0.00806,0.41667,0.00614,0.00286,3.20775,5.06836,0.20731,590.263,3.38264,0.00149566,0.00149566,0.00149566
7,81.496,2.7858,3.18987,0.36154,2.56267,2.32181,0.02699,0.10417,0.01353,0.00596,0.02582,0.0625,0.01489,0.01042,3.39578,5.47071,0.11739,6.03456,3.17076,0.00170953,0.00170953,0.00170953
8,88.8567,2.49182,2.62504,0.42715,2.16743,2.25188,0.0748,0.14583,0.04523,0.01403,0.24362,0.33333,0.17509,0.10734,3.08863,4.50856,0.1363,2.96626,2.49285,0.0017228,0.0017228,0.0017228
9,97.4183,2.52402,2.83872,0.39587,2.13953,2.19399,0.21342,0.14583,0.09934,0.02862,0.29365,0.16667,0.1352,0.07275,3.08577,5.58277,0.14188,2.82781,2.98854,0.0016832,0.0016832,0.0016832
10,106.274,2.63023,2.66292,0.37145,2.06728,2.14912,0.0071,0.08333,0.00377,0.00085,0.0073,0.25,0.0048,0.00247,3.43951,5.63203,0.06866,30.5997,3.67912,0.0016436,0.0016436,0.0016436
11,114.933,2.66704,2.7134,0.44896,2.04286,2.12772,0.00169,0.0625,0.00083,0.00023,0.00405,0.4375,0.00316,0.00156,3.38949,4.78851,0.23509,175.972,3.41618,0.001604,0.001604,0.001604
12,122.516,2.46376,2.2747,0.37138,2.00768,2.12861,0.02515,0.1875,0.00818,0.00313,0.02426,0.16667,0.01123,0.00491,3.22613,5.4692,0.25907,14.3441,3.10593,0.0015644,0.0015644,0.0015644
13,132.397,2.44577,2.1989,0.3845,1.93524,2.1079,0.27609,0.125,0.08548,0.02118,0.24894,0.10417,0.09844,0.05804,2.99515,4.68472,0.27324,4.61458,2.58288,0.0015248,0.0015248,0.0015248
14,139.869,2.31497,1.89055,0.37425,1.85407,2.01205,0.22511,0.25,0.15896,0.03525,0.32915,0.36807,0.27215,0.19939,2.74497,3.39066,0.15056,2.18767,2.3945,0.0014852,0.0014852,0.0014852
15,147.099,2.17935,1.43214,0.35488,1.71288,1.97222,0.26013,0.25,0.165,0.05672,0.42293,0.39583,0.31556,0.19164,3.01614,3.40723,0.15534,3.41409,2.44486,0.0014456,0.0014456,0.0014456
16,155.485,2.29519,1.5637,0.346,1.76659,1.94611,0.37095,0.375,0.28417,0.08435,0.38728,0.48729,0.39145,0.27845,2.47071,2.99708,0.10978,1.95414,2.15914,0.001406,0.001406,0.001406
17,163.358,2.23085,1.44171,0.36333,1.83193,1.93034,0.5482,0.27825,0.30198,0.10609,0.36203,0.5,0.40098,0.28179,2.3833,2.09752,0.11721,2.03531,2.16222,0.0013664,0.0013664,0.0013664
18,171.612,2.24378,1.39836,0.35106,1.82273,1.9069,0.36778,0.22917,0.24929,0.06371,0.50681,0.32129,0.40376,0.30372,2.47603,1.97712,0.12462,2.34663,2.19196,0.0013268,0.0013268,0.0013268
19,180.295,2.03768,1.31181,0.32953,1.59085,1.79527,0.52514,0.29167,0.34987,0.11955,0.59326,0.52083,0.59604,0.42579,2.27865,1.99457,0.12626,1.86876,1.97129,0.0012872,0.0012872,0.0012872
20,189.474,2.07618,1.14347,0.3455,1.57934,1.82655,0.53992,0.33333,0.4051,0.11338,0.63005,0.58333,0.61477,0.45919,2.52193,1.72736,0.14699,1.98484,2.07123,0.0012476,0.0012476,0.0012476
21,198.139,2.02947,1.06193,0.36525,1.54309,1.7772,0.36098,0.3125,0.30386,0.10916,0.52369,0.59564,0.54978,0.41569,2.30502,1.64376,0.14923,1.86445,1.98839,0.001208,0.001208,0.001208
