epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5163,1.68639,4.16247,6.89589,1.98002,0.00186,0.04,0.00083,0.00024,0.0032,0.01333,0.00159,0.00035,1.926,2.84822,7.15843,2.34066,8.335e-05,8.335e-05,8.335e-05
2,24.6876,1.42047,3.10137,5.72946,1.68305,0.47659,0.45035,0.51476,0.26568,0.49848,0.46167,0.54903,0.3272,1.42601,1.67243,7.88847,1.72642,0.000179739,0.000179739,0.000179739
3,37.7016,1.00562,1.37678,2.38414,1.09753,0.50937,0.70319,0.52633,0.33235,0.51043,0.70743,0.52631,0.37046,1.3818,1.78961,2.96638,1.41245,0.000272168,0.000272168,0.000272168
4,50.8865,0.89482,1.15202,1.84865,1.04106,0.61102,0.85167,0.77551,0.55585,0.60638,0.85119,0.78344,0.58995,1.12938,1.50198,2.29186,1.15474,0.000360635,0.000360635,0.000360635
5,64.3778,0.81603,1.28834,1.59692,1.01251,0.75893,0.80455,0.83795,0.63759,0.76713,0.81122,0.84804,0.6446,1.04595,1.68463,2.36006,1.12504,0.000445142,0.000445142,0.000445142
6,75.7878,0.74664,1.08606,1.19796,0.95398,0.84013,0.61389,0.75567,0.56547,0.84481,0.61722,0.75801,0.56401,1.07536,2.23832,1.95198,1.16495,0.000525688,0.000525688,0.000525688
7,87.0549,0.76414,1.12883,1.02228,0.98812,0.74114,0.76981,0.83137,0.62174,0.74564,0.7722,0.84151,0.63204,1.07957,1.94757,1.38482,1.17164,0.000602274,0.000602274,0.000602274
8,99.079,0.76632,1.13121,0.93858,0.98479,0.55949,0.67825,0.74706,0.59645,0.55949,0.67825,0.74923,0.59317,0.95825,2.05306,2.3612,1.10852,0.000674898,0.000674898,0.000674898
9,112.96,0.78917,1.22533,0.90535,0.98172,0.5177,0.69667,0.61513,0.47812,0.51598,0.69667,0.62038,0.47317,1.01482,2.48543,2.57026,1.14317,0.000743562,0.000743562,0.000743562
10,123.284,0.7662,0.88005,0.80519,0.99825,0.46419,0.68333,0.36642,0.27263,0.48213,0.68667,0.38058,0.24338,1.03418,2.90797,2.61336,1.13011,0.000808265,0.000808265,0.000808265
11,138.464,0.7104,0.94269,0.71554,0.94549,0.40617,0.77333,0.64716,0.46844,0.38886,0.76333,0.62913,0.42846,1.02009,2.41214,2.66157,1.12026,0.000869007,0.000869007,0.000869007
